Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03,283.8843688964844,319.19635009765625,309.1462707519531,476.64208984375,179.57028198242188,446.739990234375,288.35019153510143,321.1436861691208,309.37405277594195,483.13724409881166,182.4299686383783,447.9200134277344,283.0351573834178,313.6738540884245,303.86720471987456,474.1178525596479,179.09033894604931,431.1099853515625,285.9324708384744,315.4614340573081,304.26340519365976,475.23529714339696,181.06012391136443,432.1000061035156,43538700,41838300,8535300,34615100,165138000,87483000
2025-12-04,280.4375915527344,317.1890869140625,313.07830810546875,479.7449951171875,183.37008666992188,454.5299987792969,284.46382276925783,321.92264650582644,315.44544563675794,480.2239129901724,184.51002440204854,454.6300048828125,278.32954829392816,314.27306548179905,310.00793592177615,475.40489514051177,179.95027347354184,445.3900146484375,283.83440686502166,321.7928484740126,310.2654601734084,478.6674679630734,181.61017209543593,449.94000244140625,43989100,31240900,9627800,22318200,167364900,71906500
2025-12-05,278.5193786621094,320.8341064453125,312.0284729003906,482.0597229003906,182.40013122558594,455.0,280.8771882481053,322.72155681925386,315.4355916137351,482.299166614698,184.6500094505641,458.8699951171875,277.79005013345267,318.73697999805336,311.6718985008828,477.78947078944657,180.9002124089338,451.6600036621094,280.27774306596746,319.05652267664885,312.62274341566774,481.4211657314621,183.88004685245298,453.0299987792969,47265800,28851700,6518900,22608700,143971100,56427500
2025-12-08,277.6302185058594,313.49932861328125,312.1968078613281,489.9018249511719,185.5399627685547,439.5799865722656,279.4085531850005,320.21460294317257,313.44477282870224,491.17890888246444,187.98982714518382,449.75,275.8918244790692,311.0010871288888,310.3546026483966,483.2769615726175,182.39012406320575,435.25,277.86998437615557,319.82486263347363,312.0482477999388,483.7858099301447,182.6301165694494,447.45001220703125,38211800,33909400,7417200,21965900,204378100,69165800
2025-12-09,276.9208679199219,316.85693359375,297.6373596191406,490.8995361328125,184.95999145507812,445.1700134277344,279.7682096639769,317.7662971049956,315.7524991840304,490.99931449735556,185.70995086836587,452.3900146484375,276.6611317163261,311.6805848338384,297.15202309779255,487.3875630167038,183.31008684903045,435.70001220703125,277.8999627322321,312.15025542764414,311.939326475107,487.9862027558801,185.54995586495326,437.5400085449219,32193300,30194000,18049200,14696100,144719700,62367400
2025-12-10,278.5193786621094,319.9847412109375,307.1455383300781,477.4701843261719,183.77005004882812,451.45001220703125,279.48847306800184,321.0839735202244,308.2152311685389,483.14722906115725,185.46995496958337,456.8800048828125,276.1815698919154,314.45863248382005,295.60691069504315,473.99809828560024,182.03013874897007,443.6099853515625,277.490342786908,315.6078174223929,297.62741810314117,482.92772884397027,184.9599880707457,446.07000732421875,33038300,33428900,18874100,35756200,162785400,63257500
2025-12-11,277.77008056640625,312.210205078125,314.3460693359375,482.3690185546875,180.92019653320312,446.8900146484375,279.3286197507982,320.8940942947929,314.96013772429524,484.92318635563356,181.31019006496976,449.2699890136719,273.5540244422053,308.3829128168011,306.2838676543348,474.7763326037194,176.61043233199788,440.3299865722656,278.83908758708685,319.85481737290655,306.2838676543348,475.5445986070271,180.27023782951787,448.95001220703125,33248000,42353700,9721900,24669200,182136600,55979500
2025-12-12,278.0198669433594,309.07244873046875,315.47515869140625,477.4402770996094,175.01052856445312,458.9599914550781,278.9589906850317,314.6485102459599,317.20842990436694,481.3513637649093,182.81010931847595,463.010009765625,276.5612402656973,305.34506149685063,313.5735294870918,475.2552617920193,174.61054106596097,441.6700134277344,277.64021728323,313.47935032153816,316.6240735225281,478.72734800157895,181.10019518559332,448.0899963378906,39532900,35940200,8982900,21248100,204274900,95656700
2025-12-15,273.8537292480469,308.003173828125,316.9608459472656,473.73870849609375,176.28045654296875,475.30999755859375,279.8880911943856,311.2009348824072,319.7935222813264,479.6252664455081,178.4103461991077,481.7699890136719,272.5849275039148,304.66552711937686,315.3464528736662,471.44392797474177,175.02053019793698,467.6600036621094,279.8880911943856,311.1009991314403,316.534963668203,479.0066832317436,177.93037643785232,469.44000244140625,50409100,29151900,10864100,23727700,164775600,114542200
2025-12-16,274.353271484375,306.3543395996094,312.5335388183594,475.3051452636719,177.71038818359375,489.8800048828125,275.2424541197232,310.5513666605185,316.46558945571707,476.80172935648005,178.48035080582065,491.5,271.53593087885605,302.37712849550337,311.3945381021762,469.8076832860371,174.8905333961456,465.8299865722656,272.5649667835892,304.7354841263937,316.0397072252412,470.8353364785088,176.25046044282257,472.2099914550781,37648600,30585000,8331300,20705600,148588100,107608100
2025-12-17,271.58587646484375,296.5112609863281,311.9690246582031,475.0357360839844,170.93075561523438,467.260009765625,275.90184538512057,307.87325739956634,316.3170436429019,478.9069051052783,176.12047730871902,495.2799987792969,271.38608172110213,295.9116769824828,311.65207637787455,473.9182915104317,170.30078481189744,466.20001220703125,274.75292651919426,307.7933270972379,315.3860269605939,475.8239455574328,176.0904801521757,488.2200012207031,50138700,43930400,8718700,24527200,222775500,106490400
2025-12-18,271.935546875,302.2472229003906,310.0079345703125,482.87786865234375,174.1305694580078,483.3699951171875,273.374203136776,303.7461677101471,314.66301788263524,488.4850656489584,176.14045512074784,490.8599853515625,266.7004552212896,299.0195145942255,309.2353920446346,476.8017407441929,171.8107030234881,473.1199951171875,273.35420232069225,301.50775321966603,312.979256626897,477.10104539067044,174.52054772862792,478.1600036621094,51630700,33518000,11444900,28573500,176096000,95168400
2025-12-19,273.4141845703125,306.9439392089844,314.17767333984375,484.8134460449219,180.98020935058594,481.20001220703125,274.34330788170604,307.03387224107576,315.51477427620307,486.73904362092316,181.4401759084778,490.489990234375,269.64768928264715,300.7582909786616,310.1961127673861,481.39123391446003,176.3304518785618,474.7200012207031,271.8955859651445,301.5177661333593,310.79038320864026,486.2501387748106,176.6604358481607,488.1199951171875,144632000,59943200,24494400,70836100,324925900,103305400
2025-12-22,270.7166748046875,309.56207275390625,320.00146484375,483.81573486328125,183.6800537109375,488.7300109863281,273.62395794129594,309.9118326328777,320.14014104266494,487.6170561484318,184.15002947616998,498.8299865722656,270.25711338978425,305.0852133945127,314.47481933577194,481.5908021440126,182.34012994783166,485.3299865722656,272.6048920133635,309.66200850448513,314.47481933577194,485.01298390813173,183.91003698180788,489.8800048828125,36571800,26429900,8354600,16963000,129064400,86916100
2025-12-23,272.1053771972656,314.1288757324219,322.8143310546875,485.7413330078125,189.19976806640625,485.55999755859375,272.2452609569047,314.7184570357758,324.6466524002949,486.71908182827985,189.31975669034466,491.9700012207031,269.30800689497966,309.1024153195162,320.00148308544306,483.63612214595605,182.89009670029142,482.8399963378906,270.5868091030317,309.41219480947996,320.51650136966475,483.8755963136496,182.96010023623109,489.3999938964844,29642000,25478700,6668300,14683600,174873600,58223600
2025-12-24,273.55401611328125,313.8690490722656,326.02337646484375,486.90863037109375,188.59979248046875,485.3999938964844,275.17249671786806,314.8583428959372,326.8355148620812,488.04604888584674,188.899779295176,490.8999938964844,271.9455359163183,311.70059264113144,322.3884458193645,483.7258924615979,186.57989753660073,476.79998779296875,272.085389177814,314.5485634057752,323.1213622604756,484.5739628623746,187.92983057380172,488.4800109863281,17910600,10097400,4289300,5855900,65528500,41285400
2025-12-26,273.1444091796875,313.2894592285156,324.7754211425781,486.599365234375,190.51968383789062,475.19000244140625,275.1125687682936,314.86833429915043,327.6972031402456,487.00843522519267,192.67957056140054,489.0899963378906,272.6049054553,312.0603135401851,323.4185221880518,484.85335038112265,187.98982202804387,473.82000732421875,273.9037084592662,314.25877806497726,325.9639318748006,485.601642461088,189.9097162518428,485.2300109863281,21521800,10899000,4158300,8842200,139740300,58780700
2025-12-29,273.50408935546875,313.33941650390625,320.6551818847656,485.9907531738281,188.20980834960938,459.6400146484375,274.10350406329195,313.79908436732376,324.63674268276935,487.23790659993216,188.749772392931,469.3999938964844,272.0954038139857,310.4014822754237,320.43728371815735,483.0773893732932,185.8999358866866,459.0,272.4350823114352,311.15095467052413,323.8741142125664,483.7558335295542,187.6998414610299,469.0,23715200,19621800,8635300,10893400,120006100,66263000
2025-12-30,272.82470703125,313.6292419433594,320.3283386230469,486.3699035644531,187.52984619140625,454.42999267578125,273.82377221524894,316.72706748217655,321.83379757815135,488.56487537463653,188.9797799436452,463.1199951171875,272.02546707967076,312.24020504037514,319.40720581728044,484.39440153201394,186.91987858592935,453.8299865722656,272.5549704076282,312.28018544302313,321.7050354533748,484.82341501264875,188.22982052336855,461.0899963378906,22139600,17380900,7904300,13944500,97687300,59238500
