Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2024-12-16,222.28656005859375,223.93434478243137,219.91181018099155,223.64355576289674,3610300
2024-12-17,221.93760681152344,223.12982547206008,220.62906367400382,222.18961606305717,3651300
2024-12-18,213.40786743164062,222.00543639122034,213.2721678747751,222.00543639122034,4152500
2024-12-19,217.04270935058594,219.25268218204897,216.131577346534,217.52735277485667,4427200
2024-12-20,216.4999237060547,220.68723544504357,214.87151401467693,215.88926822301997,12423200
2024-12-23,215.1138153076172,216.86823686284936,214.28993039066145,215.96679243589423,2988100
2024-12-24,217.51766967773438,217.54674710057358,214.7358063082506,215.44339637105514,1186200
2024-12-26,217.98292541503906,218.4772563983972,215.71479767001603,216.45145037288887,3286500
2024-12-27,215.93771362304688,217.52734339450006,214.60979543065437,216.28665746508017,1810800
2024-12-30,213.4854278564453,214.78426868060265,210.96527614049344,213.76651453415502,2095600
2024-12-31,213.07833862304688,214.26086981105684,211.73103043869378,213.94100336281045,2270200
2025-01-02,213.18496704101562,215.65665163912917,210.91683920327856,215.00723117910076,2579500
2025-01-03,215.81170654296875,216.79069570586958,213.77621307632282,213.77621307632282,3872100
2025-01-06,215.8311004638672,217.45951005783155,213.97007149229614,216.15096689821988,2846700
2025-01-07,217.08148193359375,219.74702067900057,215.9861830980899,216.49021638391596,3299300
2025-01-08,216.32542419433594,217.9925986987455,214.04760905399408,217.03301421793347,2619800
2025-01-10,213.0007781982422,215.5984597705152,210.14138504393947,215.18167353815593,3570300
2025-01-13,210.72296142578125,212.84570205567545,208.15435711435094,211.19791732059878,3716800
2025-01-14,211.0622100830078,211.4305438162282,208.01864998730863,211.30453179378048,3485500
2025-01-15,213.2721710205078,214.8714883064511,211.3142075653038,214.08636837371012,2951600
2025-01-16,215.82142639160156,215.84080148084917,210.7035927027859,212.94264309287468,3329100
2025-01-17,217.88597106933594,219.02004962923684,216.7712971766224,219.02004962923684,5506800
2025-01-21,217.37225341796875,220.4642806902523,215.98618038702392,218.0798434340435,3982200
2025-01-22,216.40296936035156,217.50795573972442,213.582355964415,215.16228341825374,4759500
2025-01-23,219.0975799560547,219.0975799560547,216.2963417187799,217.06208656693994,3619700
2025-01-24,217.8957061767578,219.84396759371867,216.92641924073143,218.3512722199018,3232900
